origin,question,options,correct_answer,is_official
"Coastline Academy","You should give motorcycles additional space, as they might stop suddenly or swerve to avoid obstacles.","['False', 'True']","True",False
"Coastline Academy","You should always keep a minimum of a 15-second gap in front of your vehicle.","['False. You should keep at least a 3 second gap.', 'True']","False. You should keep at least a 3 second gap.",False
"Coastline Academy","What are factors that can cause danger to the driver and others?","['Drunk driving', 'Cell phones and texting', 'Unsafe speeds', 'Bad weather and/or poor road conditions', 'All of the above']","All of the above",False
"Coastline Academy","Courtesy makes chaos out of order.","['True', 'False']","False",False
"Coastline Academy","What is the point of Drivers Education","['To teach you about safe and courteous driving.', 'I''m not sure yet.']","To teach you about safe and courteous driving.",False
"Coastline Academy","What practical skill or skills are beneficial to parents during Behind the Wheel teaching?","['A - Shift the transmission from drive to neutral during an emergency.', 'B - Answering phone calls on speaker phone.', 'C - Take over the wheel and control the car from the passenger seat.', 'Both A and C']","Both A and C",False
"Coastline Academy","What is a valuable tool when teaching a teen how to drive?","['Patience', 'Clear and concise language', 'A Teen/Parent driving contract', 'All of the above']","All of the above",False
"Coastline Academy","Having a driver license is a privilege, not a right.","['True', 'False']","True",False
"Coastline Academy","If you are a minor and your cell phone rings while you are driving, you should","['Let the call go to voicemail', 'Answer it if you''re using a hands-free device', 'Answer it if the call is from your parents']","Let the call go to voicemail",False
"Coastline Academy","Driving is a right given to all Americans.","['True', 'False']","False",False
"Coastline Academy","Emancipated minors are exempt from minor's driver license restrictions.","['False', 'True']","True",False
"Coastline Academy","Physical factors that may cause accidents includes the following except:","['Being angry', 'Illness', 'Medications']","Being angry",False
"Coastline Academy","The speed limit is ___ MPH at intersections during the last 100 feet approaching the intersection if you cannot see the other roadways entering the intersection or in an alley way.","['35', '15', '25']","25",False
"Coastline Academy","A laned roadway has at least two clearly marked lanes for traffic going in one direction of the roadway.","['False', 'True']","True",False
"Coastline Academy","The law prohibits anyone under the age of 18 from using any type of wireless device while driving, except in an emergency situation.","['False', 'True']","True",False
"Coastline Academy","If a child is under the age of eight and less than 4 feet 9 inches in height, the child must be put in an approved safety seat in the front seat of a vehicle.","['False', 'True']","False",False
"Coastline Academy","You may legally flash your headlights under certain circumstances to get the attention of another driver who may not see you.","['False', 'True']","True",False
"Coastline Academy","Unless otherwise posted, the maximum speed limit is ___ mph on a two-lane undivided highway and for vehicles towing trailers.","['55', '65', '70']","55",False
"Coastline Academy","If you need corrective eyeglasses or lenses for driving it's important to wear them because:","['Seeing clearly is part of safe driving.', 'Your license may be suspended or revoked if you are stopped and found to not be wearing the eye wear that''s indicated on your license.', 'Both are true.']","Both are true.",False
"Coastline Academy","Traffic accidents are the least cause of death in the United States.","['False', 'True']","False",False
"Coastline Academy","Automobile signals are the lighting devices that allow you to inform other drivers on the roadway what your intentions are.","['False', 'True']","True",False
"Coastline Academy","Proper positioning of the hands in the steering wheel is that the left hand is positioned at 10 o'clock and the right hand is positioned at 2 o'clock of the steering wheel.","['False', 'True']","False",False
"Coastline Academy","Brown is used as background color for guide and information signs related to points of recreational or cultural interest and on some street name signs.","['False', 'True']","True",False
"Coastline Academy","If an oncoming vehicle has started to turn left in front of you:","['Slow or stop your car to prevent a collision', 'Honk your horn to warn the driver and maintain your speed.', 'Maintain your speed and take your right-of-way']","Slow or stop your car to prevent a collision",False
"Coastline Academy","If two vehicles enter an intersection from different directions at the same time and the intersection is controlled by stop signs in all directions or the signal light is not working, the driver on the ___ has the right of way.","['none - just proceed when the coast is clear', 'left', 'right']","right",False
"Coastline Academy","The purpose of antilock brake systems (ABSs) is to prevent the brakes from becoming locked.","['False', 'True']","True",False
"Coastline Academy","The purpose of the point count system is to alert drivers when they are in danger of being classified as a Negligent Operator of a motor vehicle.","['False', 'True']","True",False
"Coastline Academy","___ factors are conditions inside of your vehicle, such as distracting passengers, loud music, and doing other things while driving, that may cause you to drive unsafely.","['Physical', 'Psychological', 'Environmental']","Environmental",False
"Coastline Academy","If you are in an intersection and see an emergency vehicle, stop immediately and give them the right-of-way.","['False', 'True']","False",False
